U+30000	𰀀	ghg
U+30001	𰀁	gggh
U+30002	𰀂	agd
U+30003	𰀃	gmb
U+30004	𰀄	agd
U+30005	𰀅	vygf
U+30006	𰀆	gugf
U+30007	𰀇	gngn
U+30008	𰀈	gcu
U+30009	𰀉	gkhk
U+3000A	𰀊	mhgn
U+3000B	𰀋	alk
U+3000C	𰀌	gkmh
U+3000D	𰀍	dhat
U+3000E	𰀎	hghg
U+3000F	𰀏	hgve
U+30010	𰀐	gtfc
U+30011	𰀑	tfct
U+30012	𰀒	gmww
U+30013	𰀓	gjfw
U+30014	𰀔	gjwf
U+30015	𰀕	gmww
U+30016	𰀖	glag
U+30017	𰀗	hghg
U+30018	𰀘	dhpw
U+30019	𰀙	gdra
U+3001A	𰀚	dhgt
U+3001B	𰀛	gjjf
U+3001C	𰀜	ghgt
U+3001D	𰀝	egeg
U+3001E	𰀞	flng
U+3001F	𰀟	dhgh
U+30020	𰀠	htyi
U+30021	𰀡	jcy
U+30022	𰀢	jtyy
U+30023	𰀣	nhfw
U+30024	𰀤	vhgg
U+30025	𰀥	hnnh
U+30026	𰀦	hnnn
U+30027	𰀧	nmfk
U+30028	𰀨	lxih
U+30029	𰀩	ggg
U+3002A	𰀪	rtt
U+3002B	𰀫	tnn
U+3002C	𰀬	bnwu
U+3002D	𰀭	tuxe
U+3002E	𰀮	wnni
U+3002F	𰀯	biye
U+30030	𰀰	nnnb
U+30031	𰀱	uuuu
U+30032	𰀲	dhnb
U+30033	𰀳	ndny
U+30034	𰀴	tfnn
U+30035	𰀵	tmnk
U+30036	𰀶	ipnb
U+30037	𰀷	mwnn
U+30038	𰀸	bbb
U+30039	𰀹	tnb
U+3003A	𰀺	gnin
U+3003B	𰀻	vknn
U+3003C	𰀼	nckd
U+3003D	𰀽	snb
U+3003E	𰀾	snd
U+3003F	𰀿	wanb
U+30040	𰁀	nuak
U+30041	𰁁	fhnb
U+30042	𰁂	egen
U+30043	𰁃	rgwn
U+30044	𰁄	hwnb
U+30045	𰁅	kfin
U+30046	𰁆	tdkn
U+30047	𰁇	vgiy
U+30048	𰁈	nnhr
U+30049	𰁉	jghn
U+3004A	𰁊	mjnb
U+3004B	𰁋	nkkk
U+3004C	𰁌	nuud
U+3004D	𰁍	jfcn
U+3004E	𰁎	qann
U+3004F	𰁏	nudf
U+30050	𰁐	hjln
U+30051	𰁑	ebtn
U+30052	𰁒	bbk
U+30053	𰁓	gcqh
